date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:44	0/0	---M--	200	added ('OK')	text/plain	date:Sun,%2013%20Oct%202019%2009:28:47%20GMT	http://demo.themeify.com/robots.txt		(from )
16:28:47	206657/206657	---M--	200	added ('OK')	text/html	etag:%2232741-524ebb055ecd4%22	http://demo.themeify.com/nunu1/	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/demo.themeify.com/nunu1/index.html	(from )
16:28:49	122540/122540	---M--	200	added ('OK')	text/css	etag:%221deac-52435af06bf4e%22	http://demo.themeify.com/nunu1/bootstrap/css/bootstrap.min.css	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/demo.themeify.com/nunu1/bootstrap/css/bootstrap.min.css	(from http://demo.themeify.com/nunu1/)
16:28:51	78841/78841	---M--	200	added ('OK')	text/css	etag:%22133f9-52435a9dcef86%22	http://demo.themeify.com/nunu1/css/style.css	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/demo.themeify.com/nunu1/css/style.css	(from http://demo.themeify.com/nunu1/)
16:28:53	4091/4091	---M--	200	added ('OK')	text/css	etag:%22ffb-52435a9c944ac%22	http://demo.themeify.com/nunu1/css/animations.css	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/demo.themeify.com/nunu1/css/animations.css	(from http://demo.themeify.com/nunu1/)
16:28:53	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://demo.themeify.com/nunu1/)
16:28:53	4752/4752	---M--	200	added ('OK')	text/css	etag:%221290-52435a9c9106f%22	http://demo.themeify.com/nunu1/css/jquery.simplyscroll.css	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/demo.themeify.com/nunu1/css/jquery.simplyscroll.css	(from http://demo.themeify.com/nunu1/)
16:28:54	3898/3898	---M--	200	added ('OK')	text/css	etag:%22f3a-52435a9c96625%22	http://demo.themeify.com/nunu1/css/lightbox.css	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/demo.themeify.com/nunu1/css/lightbox.css	(from http://demo.themeify.com/nunu1/)
16:28:54	977/977	---M--	200	added ('OK')	text/css	etag:%223d1-52435a9c96464%22	http://demo.themeify.com/nunu1/css/instaslide.css	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/demo.themeify.com/nunu1/css/instaslide.css	(from http://demo.themeify.com/nunu1/)
16:28:55	206657/206657	---M--	200	added ('OK')	text/html	etag:%2232741-524ebb055ecd4%22	http://demo.themeify.com/nunu1/index.html	D:/Project%20Web/CodeLibrary/Template/FrontEnd/CodeLibFE/demo.themeify.com/nunu1/index-2.html	(from http://demo.themeify.com/nunu1/)
